...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Create a DIY rope swing for a backyard tree,create a diy rope swing for a backyard tree,rope,rope,1.10577
1,2,creative,2 Use rope to create a decorative macrame wall hanging,use rope to create a decorative macrame wall hanging,rope,rope,1.10695
2,3,creative,3 Use rope to create a makeshift clothesline for drying laundry,use rope to create a makeshift clothesline for drying laundry,rope,rope,0.89519
3,4,creative,4 Create a rope ladder for a treehouse or loft space,create a rope ladder for a treehouse or loft space,rope,rope,0.8844
4,5,creative,5 Use rope to create a heavyduty dog leash or harness,use rope to create a heavyduty dog leash or harness,rope,rope,0.88459
5,6,creative,6 Create a rope hammock for lounging in the backyard,create a rope hammock for lounging in the backyard,rope,rope,1.12053
6,7,creative,7 Use rope to create a unique plant hanger for indoor or outdoor plants,use rope to create a unique plant hanger for indoor or outdoor plants,rope,rope,1.10515
7,8,creative,8 Create a rope obstacle course for a backyard or park,create a rope obstacle course for a backyard or park,rope,rope,1.10476
8,9,creative,9 Use rope to create a DIY rope light fixture,use rope to create a diy rope light fixture,rope,rope,1.10692
9,10,creative,10 Create a DIY rope basket for storing blankets or magazines,create a diy rope basket for storing blankets or magazines,rope,rope,0.89563
10,11,creative,1 Use rope to create a makeshift clothesline for drying clothes outdoors,use rope to create a makeshift clothesline for drying clothes outdoors,rope,rope,1.10515
11,12,creative,2 Tie a knot in a rope and use it as a doorstop to keep doors open,tie a knot in a rope and use it as a doorstop to keep doors open,rope,rope,1.1052
12,13,creative,3 Create a rope swing by tying one end of the rope to a sturdy tree branch and the other end to a wooden seat,create a rope swing by tying one end of the rope to a sturdy tree branch and the other end to a wooden seat,rope,rope,0.89485
13,14,creative,4 Use rope to create a DIY hammock by tying it to two trees and adding a piece of fabric for a comfortable seat,use rope to create a diy hammock by tying it to two trees and adding a piece of fabric for a comfortable seat,rope,rope,0.89422
14,15,creative,5 Use rope to create a DIY climbing wall in your backyard,use rope to create a diy climbing wall in your backyard,rope,rope,1.10578
15,16,creative,6 Use rope to create a DIY cat scratching post by wrapping it tightly around a wooden post or pole,use rope to create a diy cat scratching post by wrapping it tightly around a wooden post or pole,rope,rope,1.10554
16,17,creative,7 Use rope to create a DIY bird feeder by tying it to tree branches and hanging a birdseedfilled container from it,use rope to create a diy bird feeder by tying it to tree branches and hanging a birdseedfilled container from it,rope,rope,1.1051
17,18,creative,8 Use rope to create a DIY obstacle course in your backyard by tying it to trees and creating various challenges to navigate,use rope to create a diy obstacle course in your backyard by tying it to trees and creating various challenges to navigate,rope,rope,0.8949
18,19,creative,9 Use rope to create a DIY pulley system for hauling heavy items up to a treehouse or elevated platform,use rope to create a diy pulley system for hauling heavy items up to a treehouse or elevated platform,rope,rope,1.11525
19,20,creative,10 Create a DIY tugofwar game with friends by tying a long rope to a tree and dividing into two teams,create a diy tugofwar game with friends by tying a long rope to a tree and dividing into two teams,rope,rope,1.10515
20,21,creative,1 Use it as a makeshift clothesline to dry clothes outdoors,use it as a makeshift clothesline to dry clothes outdoors,rope,rope,0.89493
21,22,creative,2 Create a DIY hammock by tying the rope between two trees,create a diy hammock by tying the rope between two trees,rope,rope,0.89339
22,23,creative,3 Use it to create a rope swing in your backyard,use it to create a rope swing in your backyard,rope,rope,1.10431
23,24,creative,4 Secure a tarp or tent in windy conditions,secure a tarp or tent in windy conditions,rope,rope,0.89462
24,25,creative,5 Use it to create a rope ladder for treehouses or other elevated structures,use it to create a rope ladder for treehouses or other elevated structures,rope,rope,1.10276
25,26,creative,6 Tie it around a bundle of firewood for easy transport,tie it around a bundle of firewood for easy transport,rope,rope,1.10569
