...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
1,2,creative,2 Create a unique bookend by stacking bricks and gluing them together,create a unique bookend by stacking bricks and gluing them together,brick,brick,0.80714
2,3,creative,3 Build a small garden wall or border,build a small garden wall or border,brick,brick,0.80787
3,4,creative,4 Use it as a weight for a workout routine,use it as a weight for a workout routine,brick,brick,0.80755
4,5,creative,5 Paint it and use it as a decorative piece in your home,paint it and use it as a decorative piece in your home,brick,brick,1.19231
5,6,creative,6 Use it as a base for a DIY outdoor fire pit,use it as a base for a diy outdoor fire pit,brick,brick,1.19173
6,7,creative,7 Create a unique outdoor seating area by stacking bricks and adding cushions,create a unique outdoor seating area by stacking bricks and adding cushions,brick,brick,0.8086
7,8,creative,8 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
8,9,creative,9 Use it as a prop for a photo shoot or theatrical production,use it as a prop for a photo shoot or theatrical production,brick,brick,0.8079000000000001
9,10,creative,10 Create a unique birdhouse by stacking bricks and adding a roof and entrance hole,create a unique birdhouse by stacking bricks and adding a roof and entrance hole,brick,brick,0.80767
10,11,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
11,12,creative,2 Create a garden border by stacking bricks in a decorative pattern,create a garden border by stacking bricks in a decorative pattern,brick,brick,0.80821
12,13,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,1.19165
13,14,creative,4 Build a small fire pit or grill using bricks,build a small fire pit or grill using bricks,brick,brick,0.80832
14,15,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.19165
15,16,creative,6 Create a unique piece of art by painting or carving designs into a brick,create a unique piece of art by painting or carving designs into a brick,brick,brick,1.192
16,17,creative,7 Use bricks to create a makeshift step stool or platform,use bricks to create a makeshift step stool or platform,brick,brick,1.19168
17,18,creative,8 Build a birdhouse or bird bath using bricks,build a birdhouse or bird bath using bricks,brick,brick,0.8083
18,19,creative,9 Use bricks to create a DIY pizza oven in your backyard,use bricks to create a diy pizza oven in your backyard,brick,brick,1.19167
19,20,creative,10 Create a unique and rustic bookshelf by stacking bricks and using wooden planks as shelves,create a unique and rustic bookshelf by stacking bricks and using wooden planks as shelves,brick,brick,0.80718
20,21,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
21,22,creative,2 Build a small garden wall or border with bricks,build a small garden wall or border with bricks,brick,brick,0.80831
22,23,creative,3 Use bricks as weights for outdoor workouts,use bricks as weights for outdoor workouts,brick,brick,0.8083400000000001
23,24,creative,4 Create a unique outdoor fire pit with bricks,create a unique outdoor fire pit with bricks,brick,brick,1.19165
24,25,creative,5 Use a brick as a makeshift hammer or tool for DIY projects,use a brick as a makeshift hammer or tool for diy projects,brick,brick,0.80832
25,26,creative,6 Build a brick pathway in your garden or backyard,build a brick pathway in your garden or backyard,brick,brick,0.8083
26,27,creative,7 Use bricks as a base for a tabletop or outdoor furniture,use bricks as a base for a tabletop or outdoor furniture,brick,brick,0.80832
27,28,creative,8 Create a unique piece of art by painting or carving a design into a brick,create a unique piece of art by painting or carving a design into a brick,brick,brick,0.80813
28,29,creative,9 Use bricks as a foundation for a raised garden bed,use bricks as a foundation for a raised garden bed,brick,brick,1.19169
29,30,creative,10 Build a brick mailbox or birdhouse for your yard,build a brick mailbox or birdhouse for your yard,brick,brick,1.19143
30,31,creative,1 Use it as a doorstop or bookend,use it as a doorstop or bookend,brick,brick,0.80965
31,32,creative,2 Turn it into a garden border or edging,turn it into a garden border or edging,brick,brick,0.8080700000000001
32,33,creative,3 Use it as a weight for a DIY workout routine,use it as a weight for a diy workout routine,brick,brick,0.80881
33,34,creative,4 Create a unique outdoor seating area by stacking bricks and adding cushions,create a unique outdoor seating area by stacking bricks and adding cushions,brick,brick,0.8086
34,35,creative,5 Use it as a base for a DIY birdhouse or feeder,use it as a base for a diy birdhouse or feeder,brick,brick,1.19303
35,36,creative,6 Turn it into a unique paperweight by painting or decorating it,turn it into a unique paperweight by painting or decorating it,brick,brick,1.19239
36,37,creative,7 Use it as a mold for homemade soap or candles,use it as a mold for homemade soap or candles,brick,brick,1.1917200000000001
37,38,creative,8 Create a DIY fire pit by stacking bricks in a circle,create a diy fire pit by stacking bricks in a circle,brick,brick,1.19178
38,39,creative,9 Use it as a makeshift hammer in a pinch,use it as a makeshift hammer in a pinch,brick,brick,0.80847
39,40,creative,10 Turn it into a unique bookshelf by stacking bricks and adding wooden planks,turn it into a unique bookshelf by stacking bricks and adding wooden planks,brick,brick,0.81195
40,41,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
41,42,creative,2 Create a unique garden border by stacking bricks vertically,create a unique garden border by stacking bricks vertically,brick,brick,0.80794
42,43,creative,3 Use a brick as a weight to hold down a tarp or outdoor tablecloth,use a brick as a weight to hold down a tarp or outdoor tablecloth,brick,brick,0.80804
43,44,creative,4 Build a brick fire pit in your backyard for outdoor gatherings,build a brick fire pit in your backyard for outdoor gatherings,brick,brick,0.80833
44,45,creative,5 Use bricks as a base for a DIY coffee table or bench,use bricks as a base for a diy coffee table or bench,brick,brick,0.80832
45,46,creative,6 Create a brick pathway in your garden or yard,create a brick pathway in your garden or yard,brick,brick,0.80825
46,47,creative,7 Use bricks to create a unique and rustic backsplash in your kitchen,use bricks to create a unique and rustic backsplash in your kitchen,brick,brick,0.8084
47,48,creative,8 Build a brick mailbox that stands out on your street,build a brick mailbox that stands out on your street,brick,brick,1.19171
48,49,creative,9 Use bricks to create a unique and sturdy bookshelf,use bricks to create a unique and sturdy bookshelf,brick,brick,0.81447
49,50,creative,10 Create a brick accent wall in your home for a bold and industrial look,create a brick accent wall in your home for a bold and industrial look,brick,brick,0.81194
50,51,creative,1 Use a brick as a bookend for a rustic or industrialthemed bookshelf,use a brick as a bookend for a rustic or industrialthemed bookshelf,brick,brick,0.80894
51,52,creative,2 Create a unique doorstop by wrapping a brick in colorful fabric or yarn,create a unique doorstop by wrapping a brick in colorful fabric or yarn,brick,brick,0.80806
52,53,creative,3 Use bricks as weights for outdoor games like cornhole or horseshoes,use bricks as weights for outdoor games like cornhole or horseshoes,brick,brick,1.19166
53,54,creative,4 Build a small garden wall or border using bricks as the base,build a small garden wall or border using bricks as the base,brick,brick,1.19169
54,55,creative,5 Use a brick as a makeshift hammer in a pinch,use a brick as a makeshift hammer in a pinch,brick,brick,1.19166
55,56,creative,6 Create a DIY fire pit by stacking bricks in a circle and filling the center with wood or charcoal,create a diy fire pit by stacking bricks in a circle and filling the center with wood or charcoal,brick,brick,1.19167
56,57,creative,7 Use bricks as a base for a DIY outdoor table or bench,use bricks as a base for a diy outdoor table or bench,brick,brick,0.80833
57,58,creative,8 Create a unique piece of wall art by painting a brick with a fun design or quote,create a unique piece of wall art by painting a brick with a fun design or quote,brick,brick,0.80802
58,59,creative,9 Use bricks as a base for a DIY birdhouse or bird bath,use bricks as a base for a diy birdhouse or bird bath,brick,brick,1.19167
59,60,creative,10 Create a unique and sturdy bookshelf by stacking bricks and wooden planks,create a unique and sturdy bookshelf by stacking bricks and wooden planks,brick,brick,0.82082
60,61,creative,1 Use a brick as a doorstop,use a brick as a doorstop,brick,brick,0.80828
61,62,creative,2 Create a unique bookend by stacking a few bricks together,create a unique bookend by stacking a few bricks together,brick,brick,0.80698
62,63,creative,3 Use a brick as a weight to hold down a tarp or tent,use a brick as a weight to hold down a tarp or tent,brick,brick,0.80836
63,64,creative,4 Use a brick as a makeshift hammer to drive in nails,use a brick as a makeshift hammer to drive in nails,brick,brick,0.8083400000000001
64,65,creative,5 Create a garden border by stacking bricks together,create a garden border by stacking bricks together,brick,brick,1.19179
65,66,creative,6 Use a brick as a paperweight on your desk,use a brick as a paperweight on your desk,brick,brick,1.19183
66,67,creative,7 Use a brick as a base for a DIY birdhouse or bird bath,use a brick as a base for a diy birdhouse or bird bath,brick,brick,0.8083400000000001
67,68,creative,8 Create a unique piece of art by painting a brick and displaying it on a shelf,create a unique piece of art by painting a brick and displaying it on a shelf,brick,brick,1.1919
68,69,creative,9 Use a brick as a prop for a photo shoot or movie scene,use a brick as a prop for a photo shoot or movie scene,brick,brick,1.19164
69,70,creative,10 Use a brick as a weight to hold down a blanket or tablecloth during a picnic,use a brick as a weight to hold down a blanket or tablecloth during a picnic,brick,brick,0.8084899999999999
70,71,creative,1 Use a brick as a doorstop or paperweight,use a brick as a doorstop or paperweight,brick,brick,1.19181
71,72,creative,2 Create a unique bookend by stacking bricks and gluing them together,create a unique bookend by stacking bricks and gluing them together,brick,brick,0.80714
72,73,creative,3 Use bricks to create a raised garden bed or border for a flower bed,use bricks to create a raised garden bed or border for a flower bed,brick,brick,1.19167
73,74,creative,4 Build a brick fire pit in your backyard for outdoor gatherings,build a brick fire pit in your backyard for outdoor gatherings,brick,brick,0.80833
74,75,creative,5 Use bricks to create a DIY outdoor bench or table,use bricks to create a diy outdoor bench or table,brick,brick,0.80832
75,76,creative,6 Use bricks as weights for a homemade workout routine,use bricks as weights for a homemade workout routine,brick,brick,0.80832
76,77,creative,7 Create a brick pathway in your garden or backyard,create a brick pathway in your garden or backyard,brick,brick,0.8083
77,78,creative,8 Use bricks to create a unique and rustic wall decoration,use bricks to create a unique and rustic wall decoration,brick,brick,1.19037
78,79,creative,9 Use bricks to create a base for a birdhouse or bird bath,use bricks to create a base for a birdhouse or bird bath,brick,brick,0.80832
79,80,creative,10 Use bricks to create a DIY pizza oven in your backyard,use bricks to create a diy pizza oven in your backyard,brick,brick,1.19167
80,81,creative,1 Bookend Use a brick as a sturdy bookend to keep your books in place on a shelf,bookend use a brick as a sturdy bookend to keep your books in place on a shelf,brick,brick,1.18833
81,82,creative,2 Garden marker Paint a brick with the name of a plant or herb and use it as a garden marker,garden marker paint a brick with the name of a plant or herb and use it as a garden marker,brick,brick,1.19167
82,83,creative,3 Doorstop Use a brick as a doorstop to keep a door open or closed,doorstop use a brick as a doorstop to keep a door open or closed,brick,brick,1.19167
83,84,creative,4 Paperweight Use a brick as a heavy paperweight to keep papers from flying away,paperweight use a brick as a heavy paperweight to keep papers from flying away,brick,brick,1.19168
84,85,creative,5 Exercise weight Use a brick as a makeshift weight for arm curls or other exercises,exercise weight use a brick as a makeshift weight for arm curls or other exercises,brick,brick,1.19168
85,86,creative,6 Phone holder Prop up your phone on a brick to watch videos or take photos,phone holder prop up your phone on a brick to watch videos or take photos,brick,brick,1.19112
86,87,creative,7 Fire pit Build a small fire pit with bricks for a cozy outdoor gathering spot,fire pit build a small fire pit with bricks for a cozy outdoor gathering spot,brick,brick,1.19167
87,88,creative,8 Pet food bowl holder Use a brick to elevate your pet's food bowl off the ground,pet food bowl holder use a brick to elevate your pets food bowl off the ground,brick,brick,0.8083400000000001
88,89,creative,9 DIY bookshelf Stack bricks to create a unique DIY bookshelf,diy bookshelf stack bricks to create a unique diy bookshelf,brick,brick,1.19286
89,90,creative,10 DIY garden bench Use bricks to create a sturdy DIY garden bench,diy garden bench use bricks to create a sturdy diy garden bench,brick,brick,0.80833
90,91,creative,1 Use it as a doorstop or bookend,use it as a doorstop or bookend,brick,brick,0.80965
91,92,creative,2 Paint it and use it as a decorative paperweight,paint it and use it as a decorative paperweight,brick,brick,1.1923
92,93,creative,3 Use it as a weight for outdoor games like cornhole or horseshoes,use it as a weight for outdoor games like cornhole or horseshoes,brick,brick,0.8086800000000001
93,94,creative,4 Build a small raised garden bed with bricks as the border,build a small raised garden bed with bricks as the border,brick,brick,0.80832
94,95,creative,5 Use it as a makeshift hammer to pound in stakes or nails,use it as a makeshift hammer to pound in stakes or nails,brick,brick,1.19096
95,96,creative,6 Create a unique piece of art by painting or carving designs into the brick,create a unique piece of art by painting or carving designs into the brick,brick,brick,1.19202
96,97,creative,7 Use it as a base for a birdhouse or bird bath,use it as a base for a birdhouse or bird bath,brick,brick,1.19186
97,98,creative,8 Use it as a weight to hold down a tarp or tent,use it as a weight to hold down a tarp or tent,brick,brick,1.19116
98,99,creative,9 Use it as a prop for photography or film sets,use it as a prop for photography or film sets,brick,brick,0.85588
99,100,creative,10 Use it as a mold for making homemade soap or candles,use it as a mold for making homemade soap or candles,brick,brick,0.80829
100,101,creative,1 Use a brick as a doorstop or paperweight,use a brick as a doorstop or paperweight,brick,brick,1.19181
101,102,creative,2 Create a unique bookend by stacking bricks and gluing them together,create a unique bookend by stacking bricks and gluing them together,brick,brick,0.80714
102,103,creative,3 Use a brick as a makeshift weight for a workout,use a brick as a makeshift weight for a workout,brick,brick,1.19166
103,104,creative,4 Build a small garden bed by stacking bricks in a square or rectangular shape,build a small garden bed by stacking bricks in a square or rectangular shape,brick,brick,1.19169
104,105,creative,5 Use bricks as a base for a fire pit or outdoor grill,use bricks as a base for a fire pit or outdoor grill,brick,brick,1.19167
105,106,creative,6 Create a unique piece of art by painting or decorating a brick,create a unique piece of art by painting or decorating a brick,brick,brick,1.19196
106,107,creative,7 Use bricks to create a unique and sturdy outdoor bench or seating area,use bricks to create a unique and sturdy outdoor bench or seating area,brick,brick,1.19167
107,108,creative,8 Use bricks to create a unique and sturdy outdoor table or workspace,use bricks to create a unique and sturdy outdoor table or workspace,brick,brick,1.1912
108,109,creative,9 Use bricks to create a unique and sturdy outdoor bar or serving area,use bricks to create a unique and sturdy outdoor bar or serving area,brick,brick,1.19164
109,110,creative,10 Use bricks to create a unique and sturdy outdoor pizza oven,use bricks to create a unique and sturdy outdoor pizza oven,brick,brick,1.19162
110,111,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
111,112,creative,2 Turn it into a bookend for your bookshelf,turn it into a bookend for your bookshelf,brick,brick,1.16402
112,113,creative,3 Use it as a weight for your workout routine,use it as a weight for your workout routine,brick,brick,0.80737
113,114,creative,4 Create a unique garden border by stacking bricks,create a unique garden border by stacking bricks,brick,brick,1.1917200000000001
