...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 A secret compartment  hollow out a section of the book to stash small items like jewelry or cash,a secret compartment hollow out a section of the book to stash small items like jewelry or cash,book,book,1.09466,1.01464,1.1362700000000001,0.96613,1.22013,1.08637,2e-5
1,2,creative,2 A plant holder  use the pages as a planter to create a unique centerpiece or decoration,a plant holder use the pages as a planter to create a unique centerpiece or decoration,book,book,1.16817,1.00723,0.9847,0.96613,0.78782,0.98281,-1e-5
2,3,creative,3 A phone stand  fold the pages of a book to create a stand for your phone or tablet,a phone stand fold the pages of a book to create a stand for your phone or tablet,book,book,0.92586,0.97309,0.96154,0.96613,1.22249,1.00982,0
3,4,creative,4 A wall decoration  use the cover of a beautiful or interesting book as a decorative piece on your wall,a wall decoration use the cover of a beautiful or interesting book as a decorative piece on your wall,book,book,0.89623,0.9968,0.90444,0.96613,0.77202,0.90712,-2e-5
4,5,creative,5 A birdhouse  carve out the pages to create a cozy nest for birds,a birdhouse carve out the pages to create a cozy nest for birds,book,book,1.08748,0.89097,0.99896,0.96613,0.80951,0.95061,3e-5
5,6,creative,6 A menu  use a book as a unique and creative way to present a dinner party menu,a menu use a book as a unique and creative way to present a dinner party menu,book,book,1.01677,1.00211,1.09195,0.96613,0.78018,0.97143,1e-5
6,7,creative,7 A lampshade  cover a lampshade with pages from a book for a literaryinspired DIY project,a lampshade cover a lampshade with pages from a book for a literaryinspired diy project,book,book,1.10006,1.00879,1.05536,0.96613,0.78352,0.98277,0
7,8,creative,8 A handbag  create a clutch or shoulder bag by attaching a handle to a hardcover book cover,a handbag create a clutch or shoulder bag by attaching a handle to a hardcover book cover,book,book,1.09454,0.93259,0.94875,0.96613,0.7797000000000001,0.94434,1e-5
8,9,creative,9 A puzzle  use the pages of a book to create a unique puzzle for kids or adults,a puzzle use the pages of a book to create a unique puzzle for kids or adults,book,book,0.90311,1.02042,0.95871,0.96613,0.7799,0.92565,-2e-5
9,10,creative,10 A keepsake box  create a box by cutting out pages and gluing the spine to the bottom of the cover,a keepsake box create a box by cutting out pages and gluing the spine to the bottom of the cover,book,book,0.90526,0.9983,1.00966,0.96613,1.24636,1.02514,0
10,11,creative,10 Stack several books together and use them as a unique side table or shelf,stack several books together and use them as a unique side table or shelf,book,book,1.11832,0.97607,1.07392,0.96605,1.24289,1.07545,2e-5
11,12,creative,1 Flip through the pages like a flipbook to create a miniature animation,flip through the pages like a flipbook to create a miniature animation,book,book,0.85069,0.97644,0.96028,0.96612,0.77646,0.906,-0
12,13,creative,2 Hollow out the pages to use it as a hidden stash box for small items,hollow out the pages to use it as a hidden stash box for small items,book,book,0.90547,1.01956,1.04554,0.96613,0.78034,0.94341,-0
13,14,creative,3 Use old book covers to create unique and stylish wall art or wallpaper,use old book covers to create unique and stylish wall art or wallpaper,book,book,0.89254,1.10547,0.97769,0.96672,0.70774,0.93003,-4e-5
14,15,creative,4 Create a book lamp by cutting a hole through the pages and inserting a light bulb,create a book lamp by cutting a hole through the pages and inserting a light bulb,book,book,0.95712,1.00941,1.04039,0.96508,0.84553,0.96351,-1e-5
15,16,creative,5 Tear out individual pages to use as unique and stylish wrapping paper,tear out individual pages to use as unique and stylish wrapping paper,book,book,0.85727,1.02516,0.94565,0.96622,1.08859,0.97658,-2e-5
16,17,creative,6 Use old book spines to create a book spine Christmas tree for the holidays,use old book spines to create a book spine christmas tree for the holidays,book,book,1.15069,1.10821,0.90451,0.96541,0.78496,0.98276,-6e-5
17,18,creative,7 Print out photos and glue them into an old book to create a custom photo album,print out photos and glue them into an old book to create a custom photo album,book,book,0.90329,1.19367,0.95402,0.96614,1.23077,1.04958,-7e-5
18,19,creative,8 Use old book pages as a canvas for watercolor or ink drawings and sketches,use old book pages as a canvas for watercolor or ink drawings and sketches,book,book,1.00518,0.97635,1.06541,0.96606,0.77466,0.95753,1e-5
