...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Bookends  repurpose the book as a decorative bookend to hold up other books,bookends repurpose the book as a decorative bookend to hold up other books,book,book,1.05843,0.95701,0.98651,0.96598,1.26441,1.04647,0.00873
1,2,creative,2 Secret storage  carve out a hollowed out compartment to hide valuables or a small plant inside the book,secret storage carve out a hollowed out compartment to hide valuables or a small plant inside the book,book,book,1.09391,1.04655,0.9014,0.96613,0.78454,0.95851,0.00437
2,3,creative,3 Artwork  create an art piece by folding the pages of the book into different shapes or patterns,artwork create an art piece by folding the pages of the book into different shapes or patterns,book,book,1.09494,1.03903,1.03071,0.96614,0.75461,0.97709,-0.00248
3,4,creative,4 Lampshade  attach a light fixture and use the book as a homemade lampshade,lampshade attach a light fixture and use the book as a homemade lampshade,book,book,0.90389,0.99452,0.97624,0.96649,0.78296,0.92482,-0.01125
4,5,creative,5 Plant pot  cut out the center of the pages to create a unique planter for succulents,plant pot cut out the center of the pages to create a unique planter for succulents,book,book,1.069,0.97879,1.02483,0.96613,1.23258,1.05427,0.00784
5,6,creative,6 Phone stand  fashion a phone stand by folding the pages of the book to hold a smartphone,phone stand fashion a phone stand by folding the pages of the book to hold a smartphone,book,book,0.90235,0.99795,0.9428300000000001,0.96613,0.93394,0.94864,-0.00521
6,7,creative,7 Picture frames  display photos on the pages of a open book and use it as an unconventional layered photograph,picture frames display photos on the pages of a open book and use it as an unconventional layered photograph,book,book,1.01151,1.03701,1.07083,0.96613,1.18255,1.05361,0.00448
7,8,creative,8 Drink coasters  cut pages into squares or circles and use them as ecofriendly coasters,drink coasters cut pages into squares or circles and use them as ecofriendly coasters,book,book,0.88878,1.03683,1.03362,0.96652,0.77757,0.94066,-0.01241
8,9,creative,9 Table runner  lay books out as a table runner or place mat for a quirky dinner party,table runner lay books out as a table runner or place mat for a quirky dinner party,book,book,0.907,1.04506,1.0074,0.96614,0.69278,0.92368,-0.01262
9,10,creative,10 DIY Journal  reuse by adding new pages and repurposing it into a handmade journal or sketchbook,diy journal reuse by adding new pages and repurposing it into a handmade journal or sketchbook,book,book,0.9873,0.97924,1.02914,0.96665,0.786,0.94967,-0.00995
