...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19302,0.91052,1.113,0.96697,1.19161,1.07502,0.15964
1,2,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.14937,0.98751,1.01677,0.96899,1.19181,1.06289,0.1823
2,3,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,0.96975,0.95333,1.00634,0.97091,1.19165,1.0184,-0.2308
3,4,creative,4 Build a small fire pit or barbecue grill using bricks,build a small fire pit or barbecue grill using bricks,brick,brick,1.1403699999999999,1.06914,1.0193699999999999,1.09599,1.19167,1.10331,0.1676
4,5,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.0345,1.0284200000000001,0.96616,0.96756,1.19165,1.03766,-0.02586
5,6,creative,6 Create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,brick,brick,1.10195,0.9933,1.09173,0.95223,1.14928,1.0577,-0.01749
6,7,creative,7 Use bricks as a backdrop for a photo shoot or event,use bricks as a backdrop for a photo shoot or event,brick,brick,0.89125,0.95019,0.96362,0.96758,0.8083,0.91619,-0.19438
7,8,creative,8 Create a unique piece of wall art by painting or arranging bricks in a pattern,create a unique piece of wall art by painting or arranging bricks in a pattern,brick,brick,0.84822,0.9651,0.98102,0.96752,0.8082,0.91401,-0.32194
8,9,creative,9 Use bricks as a makeshift step stool or platform for hardtoreach areas,use bricks as a makeshift step stool or platform for hardtoreach areas,brick,brick,1.17517,0.96531,1.09132,0.96754,0.80833,1.00153,0.30939
9,10,creative,10 Build a small decorative wall or pillar using bricks,build a small decorative wall or pillar using bricks,brick,brick,0.8318,0.9643,1.05292,1.17059,0.80803,0.96553,-0.4351
10,11,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19302,0.91052,1.113,0.96697,1.19161,1.07502,0.15964
11,12,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.14937,0.98751,1.01677,0.96899,1.19181,1.06289,0.1823
12,13,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,0.96975,0.95333,1.00634,0.97091,1.19165,1.0184,-0.2308
13,14,creative,4 Build a small fire pit or barbecue grill using bricks,build a small fire pit or barbecue grill using bricks,brick,brick,1.1403699999999999,1.06914,1.0193699999999999,1.09599,1.19167,1.10331,0.1676
14,15,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.0345,1.0284200000000001,0.96616,0.96756,1.19165,1.03766,-0.02586
15,16,creative,6 Create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,brick,brick,1.10195,0.9933,1.09173,0.95223,1.14928,1.0577,-0.01749
16,17,creative,7 Use bricks to create a unique textured accent wall in a room,use bricks to create a unique textured accent wall in a room,brick,brick,1.1515,1.04184,1.0890900000000001,0.9692,1.1924,1.08881,0.08512
17,18,creative,8 Build a birdhouse or bird bath using bricks,build a birdhouse or bird bath using bricks,brick,brick,1.03106,0.97186,1.06373,1.10135,0.8083,0.99526,0.01796
18,19,creative,9 Use bricks to create a unique DIY headboard for a bed,use bricks to create a unique diy headboard for a bed,brick,brick,0.85381,1.08538,0.95473,0.96733,0.80833,0.93392,-0.27987
19,20,creative,10 Create a unique DIY outdoor seating area by stacking bricks and adding cushions,create a unique diy outdoor seating area by stacking bricks and adding cushions,brick,brick,1.02743,0.96983,0.9575400000000001,0.97425,0.80821,0.94745,0.13936
20,21,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19302,0.91052,1.113,0.96697,1.19161,1.07502,0.15964
21,22,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.14937,0.98751,1.01677,0.96899,1.19181,1.06289,0.1823
22,23,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,0.96975,0.95333,1.00634,0.97091,1.19165,1.0184,-0.2308
23,24,creative,4 Build a small fire pit or barbecue grill using bricks,build a small fire pit or barbecue grill using bricks,brick,brick,1.1403699999999999,1.06914,1.0193699999999999,1.09599,1.19167,1.10331,0.1676
24,25,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.0345,1.0284200000000001,0.96616,0.96756,1.19165,1.03766,-0.02586
25,26,creative,6 Create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,brick,brick,1.10195,0.9933,1.09173,0.95223,1.14928,1.0577,-0.01749
26,27,creative,7 Use bricks to create a unique textured accent wall in a room,use bricks to create a unique textured accent wall in a room,brick,brick,1.1515,1.04184,1.0890900000000001,0.9692,1.1924,1.08881,0.08512
27,28,creative,8 Build a birdhouse or bird bath using bricks,build a birdhouse or bird bath using bricks,brick,brick,1.03106,0.97186,1.06373,1.10135,0.8083,0.99526,0.01796
28,29,creative,9 Use bricks to create a unique DIY headboard for a bed,use bricks to create a unique diy headboard for a bed,brick,brick,0.85381,1.08538,0.95473,0.96733,0.80833,0.93392,-0.27987
29,30,creative,10 Create a unique DIY outdoor seating area by stacking bricks and adding cushions,create a unique diy outdoor seating area by stacking bricks and adding cushions,brick,brick,1.02743,0.96983,0.9575400000000001,0.97425,0.80821,0.94745,0.13936
30,31,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19302,0.91052,1.113,0.96697,1.19161,1.07502,0.15964
31,32,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.14937,0.98751,1.01677,0.96899,1.19181,1.06289,0.1823
32,33,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,0.96975,0.95333,1.00634,0.97091,1.19165,1.0184,-0.2308
33,34,creative,4 Build a small fire pit or barbecue grill using bricks,build a small fire pit or barbecue grill using bricks,brick,brick,1.1403699999999999,1.06914,1.0193699999999999,1.09599,1.19167,1.10331,0.1676
34,35,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.0345,1.0284200000000001,0.96616,0.96756,1.19165,1.03766,-0.02586
35,36,creative,6 Create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,create a rustic industrialstyle bookshelf by stacking bricks and wooden planks,brick,brick,1.10195,0.9933,1.09173,0.95223,1.14928,1.0577,-0.01749
