...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Desk accessory holder Prop the prongs of the fork on the edge of your desk or table to create a unique and practical holder for pens pencils or small items like paperclips,desk accessory holder prop the prongs of the fork on the edge of your desk or table to create a unique and practical holder for pens pencils or small items like paperclips,fork,fork,1.05887
1,2,creative,2 Garden decoration Stick a few forks into the soil in your garden upside down to create a whimsical ornament Hang small potted plants or colorful wind chimes from the prongs of the forks,garden decoration stick a few forks into the soil in your garden upside down to create a whimsical ornament hang small potted plants or colorful wind chimes from the prongs of the forks,fork,fork,0.94114
2,3,creative,3 Musical instrument Glue or tape multiple forks to a small wooden base creating a homemade xylophone Paint each prong a different color and enjoy creating unique tones by striking them with a stick,musical instrument glue or tape multiple forks to a small wooden base creating a homemade xylophone paint each prong a different color and enjoy creating unique tones by striking them with a stick,fork,fork,1.05894
3,4,creative,4 Intricate candle holder Tie a bow of colorful ribbon around the midsection of the handle and place a small tealight holder in the curved end of the fork This repurposed forkcandle accent will melt some hearts at mealtime,intricate candle holder tie a bow of colorful ribbon around the midsection of the handle and place a small tealight holder in the curved end of the fork this repurposed forkcandle accent will melt some hearts at mealtime,fork,fork,1.05891
4,5,creative,5 Brush and clip alternative Straighten one of the tines of a fork to use as a miniature hand utility tool It works surprisingly well in smoothing out cake or sanding small patches of wood and can serve as an ingenious hair clip,brush and clip alternative straighten one of the tines of a fork to use as a miniature hand utility tool it works surprisingly well in smoothing out cake or sanding small patches of wood and can serve as an ingenious hair clip,fork,fork,0.94114
5,6,creative,6 Jewelry hanger Got antique forks without their counterparts lying around Place the fork handle vertically against a convenient wall allowing the remaining prongs to serve as hooks for hanging necklaces bracelets and rings,jewelry hanger got antique forks without their counterparts lying around place the fork handle vertically against a convenient wall allowing the remaining prongs to serve as hooks for hanging necklaces bracelets and rings,fork,fork,0.94114
6,7,creative,7 Tomato plant triggers Grow tomato plants marked with artistic and ingenious looking stunts Remove the handle of each fork smooth their edges paint them vibrantly and impale closesttoattention care instructions next to your nourished plant,tomato plant triggers grow tomato plants marked with artistic and ingenious looking stunts remove the handle of each fork smooth their edges paint them vibrantly and impale closesttoattention care instructions next to your nourished plant,fork,fork,1.05886
7,8,creative,8 Book stand bookworm Tired necks sustained during afternoons reading can get caused some justice with one of your kitchen utensils Uplift the two corresponding forks at a ninetydegree angle and place these crosses side by embracing side to forged support some impressive physical word lessons,book stand bookworm tired necks sustained during afternoons reading can get caused some justice with one of your kitchen utensils uplift the two corresponding forks at a ninetydegree angle and place these crosses side by embracing side to forged support some impressive physical word lessons,fork,fork,1.05886
8,9,creative,9 Fork clips Revamp iron and drain old vintage memorabilia copies an also oil give rack bookmarks Hang delicate stock signs or beloved unknown picture scraps leadings inside golden number funny common wood,fork clips revamp iron and drain old vintage memorabilia copies an also oil give rack bookmarks hang delicate stock signs or beloved unknown picture scraps leadings inside golden number funny common wood,fork,fork,1.05886
9,10,creative,10 Discussion party hosts throughout such there become myriad involving join daily be cause stand greet extraordinary pointed stories be kept hand articulate organ picture scratch ingenious comicshaped narratives close make journeys dancing uniquely individual banana pillow case period environmentally fortunate person wallpaper country waterfall gin soap ago oil red striped ponies riddles creating cities magical past indeed painting hundred knew project decades small pet sense we knife hammers outland creation care by identify inspiration satisfy alone soupopaque biorado just ades ways player lives sugar time girl chopper elaborate desk answer though acting due paths bit unending seemed time quirky metal cupboard unravel squirrel ham practical public rapid aim future pretending place anywhere awesome performance spirits museum sculpture wine,discussion party hosts throughout such there become myriad involving join daily be cause stand greet extraordinary pointed stories be kept hand articulate organ picture scratch ingenious comicshaped narratives close make journeys dancing uniquely individual banana pillow case period environmentally fortunate person wallpaper country waterfall gin soap ago oil red striped ponies riddles creating cities magical past indeed painting hundred knew project decades small pet sense we knife hammers outland creation care by identify inspiration satisfy alone soupopaque biorado just ades ways player lives sugar time girl chopper elaborate desk answer though acting due paths bit unending seemed time quirky metal cupboard unravel squirrel ham practical public rapid aim future pretending place anywhere awesome performance spirits museum sculpture wine,fork,fork,1.05886
10,11,creative,1 Fork Garden Marker Use a fork as a label for your garden or to demarcate plants and seed rows by sticking the handle end into the soil with a colortoken or tag tied to the prongs,fork garden marker use a fork as a label for your garden or to demarcate plants and seed rows by sticking the handle end into the soil with a colortoken or tag tied to the prongs,fork,fork,1.05886
11,12,creative,2 Cork Removal Instead of a traditional corkscrew bend the prongs of the fork slightly and twist it into the cork to remove a stuck wine cork from a bottle,cork removal instead of a traditional corkscrew bend the prongs of the fork slightly and twist it into the cork to remove a stuck wine cork from a bottle,fork,fork,1.05886
12,13,creative,3 Photo Frame Stand Display pictures or cards by inserting the prongs of a fork evenly on opposing sides at an angle creating a unique and fun picture stand,photo frame stand display pictures or cards by inserting the prongs of a fork evenly on opposing sides at an angle creating a unique and fun picture stand,fork,fork,0.94114
