...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,"such as books, electronics, and other household appliances.,creative",1  As a storage container Use a box as a container to store items that you don't want to keep in your home,as a storage container use a box as a container to store items that you dont want to keep in your home,box,box,1.10836,0.93268,1.05112,0.9688,1.2234099999999999,1.05687,0.00293
1,2,"such as a DIY storage unit or a DIYer's showcase.,creative",2  As a DIY project Build a DIY box to hold your DIY projects,as a diy project build a diy box to hold your diy projects,box,box,0.87208,0.88635,0.95986,0.96882,1.22275,0.98197,-0.0042
2,3,creative,3  As a tool for measurement Use a box as a measuring container to make sure that you are using the correct size box for the job,as a tool for measurement use a box as a measuring container to make sure that you are using the correct size box for the job,box,box,0.94728,1.09594,0.95331,0.9688,1.224,1.03787,2.3e-4
3,4,"such as books, electronics, and other household appliances.,creative",4  As a DIY storage unit Use a box as a container to store items that you don't want to keep in your home,as a diy storage unit use a box as a container to store items that you dont want to keep in your home,box,box,0.89114,1.04582,0.94759,0.9688,1.223,1.01527,-0.00142
4,5,creative,5  As a gift box Make a gift box using a box and wrap it with a gift wrap to hold your presents,as a gift box make a gift box using a box and wrap it with a gift wrap to hold your presents,box,box,0.91016,0.9331,1.11965,0.9688,1.22328,1.031,0.00565
5,6,"such as paintings or Sketches.,creative",6  As a container for holding art Use a box as a container to hold your art work,as a container for holding art use a box as a container to hold your art work,box,box,0.89118,0.90238,0.94805,0.96881,0.77512,0.89711,-0.00583
6,7,"such as clothes, shoes, and other personal items.,creative",7  As a storage container for items that you don't want to keep in your home Use a box to store items that you don't want to keep in your home,as a storage container for items that you dont want to keep in your home use a box to store items that you dont want to keep in your home,box,box,1.1087,1.06705,1.04854,0.9688,1.22316,1.08325,0.00561
7,8,"such as books, electronics, and other household appliances.,creative",8  As a DIY storage unit Use a box as a container to store items that you don't want to keep in your home,as a diy storage unit use a box as a container to store items that you dont want to keep in your home,box,box,0.89114,1.04582,0.94759,0.9688,1.223,1.01527,-0.00142
8,9,"such as vegetables or flowers.,creative",9  As a tool for sorting Use a box to sort items by color or type,as a tool for sorting use a box to sort items by color or type,box,box,0.87677,0.9004,0.92833,0.96888,0.77294,0.88946,-0.00703
9,10,"such as a DIY storage unit or a DIYer's showcase.,creative",10  As a DIY storage container Use a box to build a DIY storage container to hold your DIY projects,as a diy storage container use a box to build a diy storage container to hold your diy projects,box,box,0.89242,0.93266,0.94054,0.96866,1.22298,0.99145,-0.00414
