...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use the pages of old books to create unique and intricate paper sculptures,use the pages of old books to create unique and intricate paper sculptures,book,book,0.85155,1.01459,1.01881,0.96611,0.7171799999999999,0.91365,-0.00194
1,2,creative,2 Turn a book into a secret storage compartment by hollowing out the pages and using it to store valuables,turn a book into a secret storage compartment by hollowing out the pages and using it to store valuables,book,book,1.06778,0.93647,1.04202,0.96613,1.30008,1.0625,-0.00273
2,3,creative,3 Use a book as a makeshift laptop stand to elevate your computer and improve ergonomics,use a book as a makeshift laptop stand to elevate your computer and improve ergonomics,book,book,0.91792,0.963,1.044,0.96613,0.75658,0.92953,-0.00425
3,4,creative,4 Turn a book into a DIY photo album by adding pictures and mementos to the pages,turn a book into a diy photo album by adding pictures and mementos to the pages,book,book,0.90528,0.92211,0.91801,0.96613,0.77799,0.8979,-0.00662
4,5,creative,5 Create a unique piece of wall art by framing the cover of a favorite book,create a unique piece of wall art by framing the cover of a favorite book,book,book,0.98475,0.94897,1.0875,0.96612,0.76686,0.95084,-0.00379
5,6,creative,6 Use a book as a makeshift doorstop to prop open doors,use a book as a makeshift doorstop to prop open doors,book,book,0.8950899999999999,1.07907,1.0968,0.96563,0.78131,0.96358,0.00375
6,7,creative,7 Use the pages of a book to create personalized wrapping paper for gifts,use the pages of a book to create personalized wrapping paper for gifts,book,book,1.09867,0.96483,1.05106,0.96611,0.75758,0.96765,0.00106
7,8,creative,8 Create a book lamp by cutting out the pages and installing a light bulb inside,create a book lamp by cutting out the pages and installing a light bulb inside,book,book,1.05909,0.9843,1.10411,0.9655,1.18144,1.05889,7e-4
8,9,creative,9 Use a book as a makeshift plant stand to elevate small potted plants,use a book as a makeshift plant stand to elevate small potted plants,book,book,0.90617,0.93235,0.86294,0.96625,1.18898,0.97134,-0.00601
9,10,creative,10 Turn a book into a DIY journal by adding your own thoughts and musings to the pages,turn a book into a diy journal by adding your own thoughts and musings to the pages,book,book,1.03945,0.95282,1.06638,0.9660299999999999,0.79186,0.96331,-0.0017
10,11,creative,1 Use the pages of a book to create unique and personalized wrapping paper for gifts,use the pages of a book to create unique and personalized wrapping paper for gifts,book,book,0.93032,0.9963,1.04497,0.96613,0.75917,0.93938,-0.00137
11,12,creative,2 Turn a book into a secret hiding place by cutting out the center of the pages and using it to store small items,turn a book into a secret hiding place by cutting out the center of the pages and using it to store small items,book,book,1.09599,1.03536,0.97917,0.96613,0.77881,0.97109,0.00696
12,13,creative,3 Create a book sculpture by folding the pages into intricate designs,create a book sculpture by folding the pages into intricate designs,book,book,1.09219,1.0342,0.95957,0.96577,0.69106,0.94856,0.00731
13,14,creative,4 Use the pages of a book as a canvas for painting or drawing,use the pages of a book as a canvas for painting or drawing,book,book,0.88517,1.0776,1.03528,0.96613,0.7738700000000001,0.94761,0.00358
14,15,creative,5 Turn a book into a plant pot by cutting out the center of the pages and filling it with soil and plants,turn a book into a plant pot by cutting out the center of the pages and filling it with soil and plants,book,book,1.1055,1.05149,1.02982,0.96613,1.22009,1.07461,0.00734
15,16,creative,6 Use a book as a makeshift laptop stand by propping it up under the computer,use a book as a makeshift laptop stand by propping it up under the computer,book,book,0.91279,0.94494,1.04149,0.96613,1.2202600000000001,1.01712,-0.00644
16,17,creative,7 Turn a book into a birdhouse by cutting out a hole in the center of the pages and attaching a roof and perch,turn a book into a birdhouse by cutting out a hole in the center of the pages and attaching a roof and perch,book,book,0.90539,0.95767,1.00845,0.96613,1.21398,1.01032,-0.00538
17,18,creative,8 Use a book as a weight to hold down papers or fabric while working on a project,use a book as a weight to hold down papers or fabric while working on a project,book,book,0.90381,0.93788,0.90941,0.96613,0.7174499999999999,0.88694,-0.00529
18,19,creative,9 Turn a book into a lampshade by covering it in fabric or painting it with a design and attaching it to a lamp base,turn a book into a lampshade by covering it in fabric or painting it with a design and attaching it to a lamp base,book,book,1.09487,0.98759,0.95194,0.96613,0.6965600000000001,0.93942,0.00366
19,20,creative,10 Use a book as a makeshift doorstop or paperweight,use a book as a makeshift doorstop or paperweight,book,book,1.02371,0.90191,1.06753,0.96934,0.78039,0.94858,-0.00828
20,21,creative,1 Turn it into a secret compartment by hollowing out the pages and storing small items inside,turn it into a secret compartment by hollowing out the pages and storing small items inside,book,book,1.03731,1.05259,1.0793,0.96613,0.69147,0.96536,0.0058
21,22,creative,2 Use it as a makeshift laptop stand to improve ergonomics while working,use it as a makeshift laptop stand to improve ergonomics while working,book,book,1.02156,1.05902,0.90123,0.96612,0.78612,0.94681,0.00731
22,23,creative,3 Create a book sculpture by folding the pages into intricate designs,create a book sculpture by folding the pages into intricate designs,book,book,1.09219,1.0342,0.95957,0.96577,0.69106,0.94856,0.00731
23,24,creative,4 Use it as a weight to press flowers or leaves,use it as a weight to press flowers or leaves,book,book,1.10264,0.93326,1.01724,0.96615,1.2316,1.05018,-0.00166
24,25,creative,5 Cut out pages to create unique bookmarks or gift tags,cut out pages to create unique bookmarks or gift tags,book,book,0.96166,0.97216,0.96873,0.95326,0.68943,0.90905,0.00725
25,26,creative,6 Use it as a makeshift phone stand for handsfree viewing,use it as a makeshift phone stand for handsfree viewing,book,book,0.92944,0.98752,0.98649,0.96613,0.79562,0.93304,-0.00159
26,27,creative,7 Turn it into a birdhouse by cutting a hole in the cover and filling it with nesting material,turn it into a birdhouse by cutting a hole in the cover and filling it with nesting material,book,book,1.08826,0.97078,0.95916,0.96613,0.80316,0.9575,0.00196
27,28,creative,8 Use it as a canvas for painting or drawing,use it as a canvas for painting or drawing,book,book,0.84629,1.06016,0.95686,0.96614,0.76474,0.91884,0.00185
28,29,creative,9 Turn it into a lampshade by cutting out a design and attaching it to a lamp base,turn it into a lampshade by cutting out a design and attaching it to a lamp base,book,book,0.90831,1.01799,0.9803,0.96613,1.2663,1.02781,-5.2e-4
29,30,creative,10 Use it as a prop for a photoshoot or as part of a themed decoration,use it as a prop for a photoshoot or as part of a themed decoration,book,book,0.96072,1.04389,0.92822,0.96613,0.75953,0.9317,0.00419
30,31,creative,1 A book can be hollowed out and used as a secret storage compartment for small items,a book can be hollowed out and used as a secret storage compartment for small items,book,book,1.09341,0.95505,1.03692,0.96613,0.78522,0.96735,2.4e-4
31,32,creative,2 Pages from a book can be folded into origami shapes to create unique decorations,pages from a book can be folded into origami shapes to create unique decorations,book,book,1.09795,0.98956,0.96115,0.96614,1.30861,1.06468,0.00289
32,33,creative,3 A book can be repurposed as a plant pot holder with the pages acting as a protective barrier for the plant,a book can be repurposed as a plant pot holder with the pages acting as a protective barrier for the plant,book,book,0.90529,1.04926,0.96058,0.96613,1.22748,1.02175,0.00201
33,34,creative,4 The pages of a book can be cut into strips and woven together to create a unique piece of artwork,the pages of a book can be cut into strips and woven together to create a unique piece of artwork,book,book,1.04962,1.02875,1.06003,0.96613,0.87279,0.99546,0.00424
34,35,creative,5 A book can be turned into a lampshade by carefully cutting out the pages and attaching them to a frame,a book can be turned into a lampshade by carefully cutting out the pages and attaching them to a frame,book,book,1.10183,1.05752,1.03809,0.96613,0.76351,0.98542,0.0083
35,36,creative,6 Pages from a book can be used to create a collage with images and text cut out and arranged in a visually appealing way,pages from a book can be used to create a collage with images and text cut out and arranged in a visually appealing way,book,book,0.89846,1.0153,0.96143,0.96613,0.78089,0.92444,-1.2e-4
36,37,creative,7 A book can be used as a makeshift doorstop or paperweight,a book can be used as a makeshift doorstop or paperweight,book,book,0.96499,0.97539,1.03125,0.96609,0.78042,0.94363,-0.00184
37,38,creative,8 The spine of a book can be removed and used as a bookmark or as a decorative element in a craft project,the spine of a book can be removed and used as a bookmark or as a decorative element in a craft project,book,book,1.09365,0.98627,1.05449,0.96613,0.7289300000000001,0.96589,0.00254
38,39,creative,9 Pages from a book can be used to create a unique and personalized wrapping paper for gifts,pages from a book can be used to create a unique and personalized wrapping paper for gifts,book,book,0.91319,0.97931,1.04105,0.96613,0.76503,0.93294,-0.00313
39,40,creative,10 A book can be used as a prop in a photoshoot or as a backdrop for a social media post,a book can be used as a prop in a photoshoot or as a backdrop for a social media post,book,book,0.90525,1.01344,1.07405,0.96613,1.09633,1.01104,-0.00155
40,41,creative,1 Book Planter  Cut out a section of the book to create a small planter for succulents or other small plants,book planter cut out a section of the book to create a small planter for succulents or other small plants,book,book,0.90579,0.95027,1.02524,0.96613,0.74284,0.91805,-0.00538
41,42,creative,2 Book Safe  Hollow out the pages of the book and use it to store small valuables or important documents,book safe hollow out the pages of the book and use it to store small valuables or important documents,book,book,0.83639,0.88867,0.95331,0.96613,0.77988,0.88488,-0.01148
42,43,creative,3 Book Lamp  Turn a book into a unique lamp by cutting out the pages and inserting a light source,book lamp turn a book into a unique lamp by cutting out the pages and inserting a light source,book,book,0.91144,1.01981,0.94924,0.96631,0.77086,0.92353,6e-4
43,44,creative,4 Book Clock  Transform a book into a clock by removing the pages and adding a clock mechanism,book clock transform a book into a clock by removing the pages and adding a clock mechanism,book,book,0.9619800000000001,1.0867,0.98978,0.96494,0.77588,0.95586,0.00771
44,45,creative,5 Book Art  Use the pages of the book to create unique pieces of art such as collages or sculptures,book art use the pages of the book to create unique pieces of art such as collages or sculptures,book,book,1.06131,1.06211,1.04581,0.96614,1.21881,1.07084,0.00673
45,46,creative,6 Book Coasters  Cut out sections of the book cover to create unique coasters for drinks,book coasters cut out sections of the book cover to create unique coasters for drinks,book,book,1.07121,0.91446,1.13748,0.96618,0.7709699999999999,0.97206,-0.00442
46,47,creative,7 Book Purse  Cut out a section of the book to create a unique purse or clutch,book purse cut out a section of the book to create a unique purse or clutch,book,book,1.03064,0.95287,1.01211,0.96613,1.2409,1.04053,-0.0022
47,48,creative,8 Book Jewelry  Use the pages of the book to create unique pieces of jewelry such as earrings or necklaces,book jewelry use the pages of the book to create unique pieces of jewelry such as earrings or necklaces,book,book,0.90606,0.9085,1.00962,0.96613,0.7276400000000001,0.90359,-0.00839
48,49,creative,9 Book Birdhouse  Cut out a section of the book to create a small birdhouse for your backyard,book birdhouse cut out a section of the book to create a small birdhouse for your backyard,book,book,1.09484,0.91987,1.02646,0.96613,0.78362,0.95818,-0.0023
49,50,creative,10 Book Notebook  Use the blank pages of the book to create a unique notebook or journal,book notebook use the blank pages of the book to create a unique notebook or journal,book,book,1.20295,0.80802,0.96323,0.96598,1.27706,1.04345,-0.00776
50,51,creative,1 Turn it into a secret storage compartment by cutting out the pages and using the cover as a disguise,turn it into a secret storage compartment by cutting out the pages and using the cover as a disguise,book,book,1.12203,0.93655,0.95818,0.96613,0.70417,0.93741,4.9e-4
51,52,creative,2 Use it as a makeshift laptop stand to improve posture while working,use it as a makeshift laptop stand to improve posture while working,book,book,1.0207600000000001,0.95829,1.03188,0.96613,1.17984,1.03138,-0.00216
52,53,creative,3 Create a unique piece of wall art by framing the cover or pages of a particularly beautiful or meaningful book,create a unique piece of wall art by framing the cover or pages of a particularly beautiful or meaningful book,book,book,0.91082,0.95772,0.91908,0.96613,1.30653,1.01206,-0.00454
53,54,creative,4 Use it as a makeshift weight for exercise by holding it while doing squats or lunges,use it as a makeshift weight for exercise by holding it while doing squats or lunges,book,book,1.05658,0.9378,0.9883,0.96613,1.21865,1.03349,-0.00235
54,55,creative,5 Turn it into a plant pot by cutting out the pages and filling it with soil and a small plant,turn it into a plant pot by cutting out the pages and filling it with soil and a small plant,book,book,1.06901,0.97333,1.00046,0.96613,1.22166,1.04612,6e-4
