...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 A book can be used as a makeshift laptop stand to elevate the screen to eye level,a book can be used as a makeshift laptop stand to elevate the screen to eye level,book,book,1.22832
1,2,creative,2 Pages from a book can be used to create unique and intricate paper crafts such as origami or quilling,pages from a book can be used to create unique and intricate paper crafts such as origami or quilling,book,book,0.7796
2,3,creative,3 A book can be hollowed out and used as a secret storage compartment for small items,a book can be hollowed out and used as a secret storage compartment for small items,book,book,0.78522
3,4,creative,4 Pages from a book can be used as wrapping paper for gifts adding a literary touch to the presentation,pages from a book can be used as wrapping paper for gifts adding a literary touch to the presentation,book,book,0.75884
4,5,creative,5 A book can be used as a makeshift doorstop to prop open a door,a book can be used as a makeshift doorstop to prop open a door,book,book,1.21888
5,6,creative,6 Pages from a book can be used to create a unique and personalized scrapbook,pages from a book can be used to create a unique and personalized scrapbook,book,book,0.76372
6,7,creative,7 A book can be used as a makeshift weight to hold down papers or other lightweight objects,a book can be used as a makeshift weight to hold down papers or other lightweight objects,book,book,0.78412
7,8,creative,8 Pages from a book can be used to create unique and personalized bookmarks,pages from a book can be used to create unique and personalized bookmarks,book,book,1.29392
8,9,creative,9 A book can be used as a makeshift level to ensure that objects are straight and level,a book can be used as a makeshift level to ensure that objects are straight and level,book,book,0.78361
9,10,creative,10 Pages from a book can be used to create unique and personalized wall art such as framed book pages or a book page collage,pages from a book can be used to create unique and personalized wall art such as framed book pages or a book page collage,book,book,0.78106
10,11,creative,1 A book can be used as a makeshift laptop stand to elevate the screen to eye level,a book can be used as a makeshift laptop stand to elevate the screen to eye level,book,book,1.22832
11,12,creative,2 Pages from a book can be folded into origami shapes to create unique decorations,pages from a book can be folded into origami shapes to create unique decorations,book,book,1.30861
12,13,creative,3 A book can be hollowed out and used as a secret storage compartment,a book can be hollowed out and used as a secret storage compartment,book,book,1.20089
13,14,creative,4 Pages from a book can be cut into strips and used as bookmarks or to create paper chains,pages from a book can be cut into strips and used as bookmarks or to create paper chains,book,book,0.70184
14,15,creative,5 A book can be used as a makeshift weight to hold down papers or fabric,a book can be used as a makeshift weight to hold down papers or fabric,book,book,0.80011
15,16,creative,6 Pages from a book can be used to create a collage or mixed media art piece,pages from a book can be used to create a collage or mixed media art piece,book,book,0.78396
16,17,creative,7 A book can be used as a makeshift doorstop,a book can be used as a makeshift doorstop,book,book,1.21982
17,18,creative,8 Pages from a book can be cut into shapes and used as gift tags or to create homemade cards,pages from a book can be cut into shapes and used as gift tags or to create homemade cards,book,book,0.77688
18,19,creative,9 A book can be used as a prop in a photoshoot or as a background for a flat lay,a book can be used as a prop in a photoshoot or as a background for a flat lay,book,book,0.8834
19,20,creative,10 Pages from a book can be used to create a paper mache sculpture,pages from a book can be used to create a paper mache sculpture,book,book,1.23043
20,21,creative,1 A book can be used as a makeshift laptop stand,a book can be used as a makeshift laptop stand,book,book,1.21672
21,22,creative,2 Pages from a book can be folded into origami shapes and used as decorations,pages from a book can be folded into origami shapes and used as decorations,book,book,1.31095
22,23,creative,3 A book can be hollowed out and used as a secret storage compartment,a book can be hollowed out and used as a secret storage compartment,book,book,1.20089
23,24,creative,4 Pages from a book can be used as wrapping paper for gifts,pages from a book can be used as wrapping paper for gifts,book,book,1.26227
24,25,creative,5 A book can be used as a makeshift doorstop,a book can be used as a makeshift doorstop,book,book,1.21982
25,26,creative,6 Pages from a book can be cut into strips and used as bookmarks,pages from a book can be cut into strips and used as bookmarks,book,book,1.3082500000000001
26,27,creative,7 A book can be used as a makeshift weight for exercise,a book can be used as a makeshift weight for exercise,book,book,0.78327
27,28,creative,8 Pages from a book can be used as a canvas for artwork or calligraphy,pages from a book can be used as a canvas for artwork or calligraphy,book,book,1.25637
28,29,creative,9 A book can be used as a makeshift stand for a tablet or ereader,a book can be used as a makeshift stand for a tablet or ereader,book,book,0.7809200000000001
29,30,creative,10 Pages from a book can be used as kindling for a fire,pages from a book can be used as kindling for a fire,book,book,0.78218
30,31,creative,1 A book can be used as a makeshift laptop stand or riser,a book can be used as a makeshift laptop stand or riser,book,book,0.78816
31,32,creative,2 Pages from a book can be used to create unique and personalized wrapping paper,pages from a book can be used to create unique and personalized wrapping paper,book,book,1.2759800000000001
32,33,creative,3 A book can be hollowed out and used as a secret storage compartment,a book can be hollowed out and used as a secret storage compartment,book,book,1.20089
33,34,creative,4 Pages from a book can be folded into origami shapes and used as decorations,pages from a book can be folded into origami shapes and used as decorations,book,book,1.31095
34,35,creative,5 A book can be used as a makeshift doorstop,a book can be used as a makeshift doorstop,book,book,1.21982
35,36,creative,6 Pages from a book can be used to create a unique and personalized scrapbook,pages from a book can be used to create a unique and personalized scrapbook,book,book,0.76372
36,37,creative,7 A book can be used as a makeshift weight for exercising,a book can be used as a makeshift weight for exercising,book,book,0.78308
37,38,creative,8 Pages from a book can be used to create unique and personalized greeting cards,pages from a book can be used to create unique and personalized greeting cards,book,book,1.22449
38,39,creative,9 A book can be used as a makeshift phone or tablet stand,a book can be used as a makeshift phone or tablet stand,book,book,1.21806
39,40,creative,10 Pages from a book can be used to create unique and personalized bookmarks,pages from a book can be used to create unique and personalized bookmarks,book,book,1.29392
40,41,creative,1 Turn it into a secret storage compartment by cutting out the pages and hiding small items inside,turn it into a secret storage compartment by cutting out the pages and hiding small items inside,book,book,0.70137
41,42,creative,2 Use it as a makeshift laptop stand to elevate your computer and improve posture,use it as a makeshift laptop stand to elevate your computer and improve posture,book,book,0.69033
42,43,creative,3 Create a unique piece of art by folding the pages into intricate designs or cutting out shapes to make a book sculpture,create a unique piece of art by folding the pages into intricate designs or cutting out shapes to make a book sculpture,book,book,1.24972
43,44,creative,4 Use it as a weight to hold down papers or fabric while working on a project,use it as a weight to hold down papers or fabric while working on a project,book,book,1.30056
44,45,creative,5 Turn it into a plant pot by cutting out the center of the pages and filling it with soil and a small plant,turn it into a plant pot by cutting out the center of the pages and filling it with soil and a small plant,book,book,0.78009
45,46,creative,6 Use it as a makeshift doorstop to hold open a stubborn door,use it as a makeshift doorstop to hold open a stubborn door,book,book,1.21929
