id,condition,response,response_clean,item,item_clean,SemDis_glove_c_m
1,creative,necklace,necklace,brick,brick,0.90976
1,creative,shoes,shoes,brick,brick,0.82479
1,creative,car,car,brick,brick,0.8210500000000001
1,creative,hat,hat,brick,brick,0.88256
1,creative,plate,plate,brick,brick,0.83501
1,creative,coat,coat,brick,brick,0.7457400000000001
1,creative,table,table,brick,brick,0.85037
1,creative,bed,bed,brick,brick,0.74484
1,creative,ball,ball,brick,brick,0.8786
1,creative,carpet,carpet,brick,brick,0.7289
1,creative,sofa,sofa,brick,brick,0.82574
1,creative,court,court,brick,brick,0.9188000000000001
1,creative,ring,ring,brick,brick,0.8190500000000001
2,creative,putting a under a leg of a table to make it level out evenly,putting a under a leg of a table to make it level out evenly,brick,brick,1.19035
2,creative,using to contain a fire by building a little wall around the fire,using to contain a fire by building a little wall around the fire,brick,brick,0.8074399999999999
2,creative,using a as a hammer,using a as a hammer,brick,brick,0.80779
2,creative,using a as a writing surface,using a as a writing surface,brick,brick,1.15272
3,creative,weight for a pully system,weight for a pully system,brick,brick,1.18723
3,creative,hammer,hammer,brick,brick,0.8950400000000001
3,creative,kill a bug,kill a bug,brick,brick,0.79986
3,creative,cut and hollow and make a box that can be hidden in the wall under the disguise of a regular,cut and hollow and make a box that can be hidden in the wall under the disguise of a regular,brick,brick,1.19174
3,creative,to break a window,to break a window,brick,brick,1.18819
3,creative,uses pieces to create a work of art,uses pieces to create a work of art,brick,brick,1.19281
3,creative,ammunition for a big sling shot,ammunition for a big sling shot,brick,brick,0.85303
3,creative,add wheels and other items to make it into a car,add wheels and other items to make it into a car,brick,brick,0.80752
3,creative,put it in a wall next to a door that is lockedyou open the face of the and it reveals a keypad in theyou put in the pass code and the door will openit is a hidden security measure,put it in a wall next to a door that is lockedyou open the face of the and it reveals a keypad in theyou put in the pass code and the door will openit is a hidden security measure,brick,brick,0.80842
3,creative,prop it against the gas pedal of a car so the car will go without anyone inside,prop it against the gas pedal of a car so the car will go without anyone inside,brick,brick,1.19005
4,creative,using the as a flower holder,using the as a flower holder,brick,brick,1.18823
4,creative,using it as a weapon,using it as a weapon,brick,brick,0.81686
4,creative,paint on the to make an art work,paint on the to make an art work,brick,brick,1.19291
4,creative,use the  as a sharp tool to cut leaves,use the as a sharp tool to cut leaves,brick,brick,0.8133
4,creative,imaginatively  use the holes of the as a peeping hole for childhood play roles,imaginatively use the holes of the as a peeping hole for childhood play roles,brick,brick,1.19185
4,creative,place items in between the holes to create holders,place items in between the holes to create holders,brick,brick,0.80698
4,creative,break the into small pieces and use it in art works,break the into small pieces and use it in art works,brick,brick,0.80725
4,creative,use a as something to weigh down objects,use a as something to weigh down objects,brick,brick,1.18615
4,creative,put two sticks through the with 4 wheels to create a car,put two sticks through the with wheels to create a car,brick,brick,0.80786
4,creative,use the to scrape along sidewalks to create images or designs or art work,use the to scrape along sidewalks to create images or designs or art work,brick,brick,1.1917
4,creative,put the on a sheet of paper spray painting to create lines and art,put the on a sheet of paper spray painting to create lines and art,brick,brick,1.19212
4,creative,use the as a subject in art work  so you can study the shape and different shadows that it can present,use the as a subject in art work so you can study the shape and different shadows that it can present,brick,brick,0.8075
4,creative,tie strings to the and hang it off a tree  to give it an illusional effect of floating in the air from afar,tie strings to the and hang it off a tree to give it an illusional effect of floating in the air from afar,brick,brick,1.19187
5,creative,You can use a to lift weights,you can use a to lift weights,brick,brick,0.80697
5,creative,You can use a in a throwing contest to see who is the strongest,you can use a in a throwing contest to see who is the strongest,brick,brick,1.19177
5,creative,You can use a to make a brickman snowman,you can use a to make a brickman snowman,brick,brick,0.80725
5,creative,You can use a for a scare tactic,you can use a for a scare tactic,brick,brick,1.19303
5,creative,You can use a to assist in research,you can use a to assist in research,brick,brick,1.19303
5,creative,You can use pieces of a to make tattoo,you can use pieces of a to make tattoo,brick,brick,0.80934
6,creative,a stepping stool,a stepping stool,brick,brick,0.78819
6,creative,something to draw on,something to draw on,brick,brick,1.1828
6,creative,put together to build something,put together to build something,brick,brick,0.81008
6,creative,take a and toss it back and forth,take a and toss it back and forth,brick,brick,1.19241
6,creative,make a pet,make a pet,brick,brick,0.80738
6,creative,have a throwing competition,have a throwing competition,brick,brick,1.1892800000000001
6,creative,cut a into pieces and make a mosaic,cut a into pieces and make a mosaic,brick,brick,1.19288
6,creative,use the holes in the as a planting bowl,use the holes in the as a planting bowl,brick,brick,0.80799
6,creative,use the to build a fort,use the to build a fort,brick,brick,1.19187
6,creative,use a for the stand of a firework display they're fire repellant I think,use a for the stand of a firework display theyre fire repellant i think,brick,brick,1.1912099999999999
6,creative,use the as a weapon when in danger,use the as a weapon when in danger,brick,brick,1.19214
6,creative,paint the and use them as decorations,paint the and use them as decorations,brick,brick,0.80715
6,creative,use them as weights when you are working out,use them as weights when you are working out,brick,brick,0.80702
6,creative,use it for a tic tac toe board  using rocks and sticks are xs and os,use it for a tic tac toe board using rocks and sticks are xs and os,brick,brick,0.8085
6,creative,draw on it with chalk like it was a chalk board,draw on it with chalk like it was a chalk board,brick,brick,0.80592
6,creative,list more creative ideas of how to use a then I am on this computer,list more creative ideas of how to use a then i am on this computer,brick,brick,0.80983
7,creative,Paperweight,paperweight,brick,brick,0.88425
7,creative,carve it into sculpture,carve it into sculpture,brick,brick,1.1091199999999999
7,creative,hollow it out ad use for a container,hollow it out ad use for a container,brick,brick,1.19224
7,creative,nail file,nail file,brick,brick,1.02972
7,creative,building a house,building a house,brick,brick,0.79695
7,creative,weight for weight lifting,weight for weight lifting,brick,brick,1.16787
7,creative,as a shoe cleaner  to scrape the bottom of your shoes on,as a shoe cleaner to scrape the bottom of your shoes on,brick,brick,1.19151
7,creative,as a stone  to help build a makeshift dam,as a stone to help build a makeshift dam,brick,brick,0.8083899999999999
7,creative,as a weight  to make something sink in water,as a weight to make something sink in water,brick,brick,0.90493
7,creative,like a piece of charcoal  for drawing with,like a piece of charcoal for drawing with,brick,brick,1.19189
7,creative,grind it into dust  mix with water  and use as paint,grind it into dust mix with water and use as paint,brick,brick,0.80759
8,creative,Hammer,hammer,brick,brick,0.8950400000000001
8,creative,weapon,weapon,brick,brick,0.9628099999999999
8,creative,door stopper,door stopper,brick,brick,0.96106
8,creative,stepping stone,stepping stone,brick,brick,1.0949200000000001
8,creative,nail filer,nail filer,brick,brick,0.95624
8,creative,foot rest,foot rest,brick,brick,1.10848
8,creative,weight lifting,weight lifting,brick,brick,1.09767
9,creative,You can use a as a weight,you can use a as a weight,brick,brick,0.81072
9,creative,You can measure how big someone's head is using as units,you can measure how big someones head is using as units,brick,brick,1.17951
9,creative,can be used as toys,can be used as toys,brick,brick,0.81172
9,creative,You can use for playing football,you can use for playing football,brick,brick,1.1922
9,creative,You can play catch with,you can play catch with,brick,brick,0.80498
9,creative,can be used as burgers while playing outside,can be used as burgers while playing outside,brick,brick,1.18945
9,creative,can be used as door stoppers and also to stop glass from being solid,can be used as door stoppers and also to stop glass from being solid,brick,brick,0.8072699999999999
9,creative,You miss out on things when you have been living under a rock  but if you have been living under a you probably got knocked out,you miss out on things when you have been living under a rock but if you have been living under a you probably got knocked out,brick,brick,1.19167
9,creative,You can use to carve sayings into a wall,you can use to carve sayings into a wall,brick,brick,1.15707
9,creative,You can use to make door knobs but it will be probably uncomfortable to turn,you can use to make door knobs but it will be probably uncomfortable to turn,brick,brick,1.19234
9,creative,You can play how many fingers can you break with a,you can play how many fingers can you break with a,brick,brick,0.80777
9,creative,You can use for clothes they will just be heavy,you can use for clothes they will just be heavy,brick,brick,1.1930399999999999
9,creative,You can use to make a Lifesize Thing action figure from Fantastic  Four,you can use to make a lifesize thing action figure from fantastic four,brick,brick,1.19286
10,creative,house,house,brick,brick,0.63317
10,creative,building,building,brick,brick,0.40225
10,creative,decoration,decoration,brick,brick,0.65896
10,creative,car,car,brick,brick,0.8210500000000001
10,creative,table,table,brick,brick,0.85037
10,creative,bookshelf,bookshelf,brick,brick,0.9229
10,creative,computer,computer,brick,brick,0.94912
10,creative,phone,phone,brick,brick,0.92378
10,creative,bowl,bowl,brick,brick,0.90219
10,creative,dish,dish,brick,brick,0.8407100000000001
10,creative,chair,chair,brick,brick,0.89471
10,creative,bridge,bridge,brick,brick,0.7291000000000001
10,creative,floor,floor,brick,brick,0.61626
10,creative,lamp,lamp,brick,brick,0.72926
10,creative,vase,vase,brick,brick,0.82978
10,creative,shoe,shoe,brick,brick,0.8338
10,creative,pillow,pillow,brick,brick,0.8731
10,creative,toy,toy,brick,brick,0.89408
10,creative,weapon,weapon,brick,brick,0.9628099999999999
10,creative,notebook,notebook,brick,brick,1.04118
10,creative,journal,journal,brick,brick,0.96844
10,creative,purse,purse,brick,brick,1.03029
10,creative,bookend,bookend,brick,brick,0.9963
10,creative,pencil case,pencil case,brick,brick,0.94754
10,creative,coin holder,coin holder,brick,brick,1.00914
10,creative,pet,pet,brick,brick,1.00134
11,creative,Door stop,door stop,brick,brick,1.15782
11,creative,Hammer,hammer,brick,brick,0.8950400000000001
11,creative,Pet,pet,brick,brick,1.00134
11,creative,Swatter,swatter,brick,brick,1.05208
11,creative,Paper weight,paper weight,brick,brick,1.11712
11,creative,Carve out the inside and use it for storage,carve out the inside and use it for storage,brick,brick,0.80753
11,creative,break into small  tine  sandlike pieces and use for a Zen garden or as such,break into small tine sandlike pieces and use for a zen garden or as such,brick,brick,0.80803
11,creative,Break into shards too see all the different shapes you could make,break into shards too see all the different shapes you could make,brick,brick,1.19192
11,creative,Take pieces of it to use for a game of jacks,take pieces of it to use for a game of jacks,brick,brick,0.80919
11,creative,break into pieces to make a puzzle,break into pieces to make a puzzle,brick,brick,0.80678
11,creative,Trophy,trophy,brick,brick,0.97389
11,creative,Canvas,canvas,brick,brick,0.7337400000000001
11,creative,iPhone dock,iphone dock,brick,brick,1.07107
11,creative,calculator,calculator,brick,brick,1.02986
12,creative,paper weight,paper weight,brick,brick,1.11712
12,creative,nail file,nail file,brick,brick,1.02972
12,creative,companion like a teddy bear,companion like a teddy bear,brick,brick,0.79871
12,creative,weight to exercise,weight to exercise,brick,brick,0.84472
12,creative,anchor,anchor,brick,brick,0.86311
12,creative,earrings,earrings,brick,brick,0.91903
12,creative,exfoliant scrub dead skin cells,exfoliant scrub dead skin cells,brick,brick,0.97598
12,creative,kite holder keeps the kite from flying away,kite holder keeps the kite from flying away,brick,brick,1.15994
12,creative,ankle weight,ankle weight,brick,brick,1.05329
12,creative,weapon,weapon,brick,brick,0.9628099999999999
13,creative,a baby doll,a baby doll,brick,brick,0.77739
13,creative,throw it around like a ball,throw it around like a ball,brick,brick,1.18338
13,creative,dress it up as someone,dress it up as someone,brick,brick,0.81404
13,creative,paint it,paint it,brick,brick,1.10837
13,creative,draw it,draw it,brick,brick,1.17017
13,creative,name it and keep it forever  like it was your own,name it and keep it forever like it was your own,brick,brick,0.8083899999999999
13,creative,use the as a step stool,use the as a step stool,brick,brick,1.19087
13,creative,practice your balance on it  one foot on it at a time,practice your balance on it one foot on it at a time,brick,brick,1.19273
13,creative,use it as a weapon,use it as a weapon,brick,brick,0.8141
13,creative,use it as a self defense measure,use it as a self defense measure,brick,brick,0.8383
13,creative,use it after putting books on a shelf to keep the books from falling over,use it after putting books on a shelf to keep the books from falling over,brick,brick,0.80791
13,creative,use it as a window proper opener,use it as a window proper opener,brick,brick,0.81624
13,creative,use it behind a tire  if parked on a hill,use it behind a tire if parked on a hill,brick,brick,1.19198
13,creative,make into art piece,make into art piece,brick,brick,1.1792
13,creative,a paper weight,a paper weight,brick,brick,0.86651
13,creative,a door stopper,a door stopper,brick,brick,1.16224
13,creative,use it as a weight,use it as a weight,brick,brick,0.83087
14,creative,Anchor,anchor,brick,brick,0.86311
14,creative,door stop,door stop,brick,brick,1.15782
14,creative,pencil/pen holder,pencilpen holder,brick,brick,1.03031
14,creative,art,art,brick,brick,0.83409
14,creative,have a throwing contest,have a throwing contest,brick,brick,1.18929
14,creative,use it as a hammer to hit something down,use it as a hammer to hit something down,brick,brick,0.80706
14,creative,paint with it,paint with it,brick,brick,0.81031
14,creative,as a child,as a child,brick,brick,0.80055
14,creative,use it to smash up foods flatten meat  crack nuts,use it to smash up foods flatten meat crack nuts,brick,brick,0.80826
14,creative,for military personnel to drop out of planes at enemies,for military personnel to drop out of planes at enemies,brick,brick,1.19302
14,creative,send messages on to friends,send messages on to friends,brick,brick,0.8078
15,creative,defensive weapon,defensive weapon,brick,brick,1.0679400000000001
15,creative,patio,patio,brick,brick,0.56767
15,creative,weight for building muscles,weight for building muscles,brick,brick,1.09784
15,creative,basis of a house foundation,basis of a house foundation,brick,brick,0.8150999999999999
15,creative,seat made of,seat made of,brick,brick,0.80979
15,creative,step latter,step latter,brick,brick,1.14134
15,creative,use as markers instead of cones,use as markers instead of cones,brick,brick,0.83294
15,creative,stoppers  such as for a door,stoppers such as for a door,brick,brick,0.80854
15,creative,throw the  furthest game,throw the furthest game,brick,brick,1.01342
15,creative,hot  instead of potato,hot instead of potato,brick,brick,1.19395
15,creative,steps,steps,brick,brick,0.79018
15,creative,as a barrier,as a barrier,brick,brick,0.79705
15,creative,fence,fence,brick,brick,0.67628
15,creative,pet,pet,brick,brick,1.00134
15,creative,fort,fort,brick,brick,0.75927
15,creative,fireplace,fireplace,brick,brick,0.54184
