...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Create a DIY hanging chair by knotting the rope around a sturdy branch or post,create a diy hanging chair by knotting the rope around a sturdy branch or post,rope,rope,1.15553,1.16788,1.08276,0.96096,1.11054,1.09553,0.01448
1,2,creative,2 Repurpose an old ladder by wrapping rope around the rungs to create a unique and functional bookshelf,repurpose an old ladder by wrapping rope around the rungs to create a unique and functional bookshelf,rope,rope,1.02457,0.99901,1.10557,0.96098,1.10416,1.03886,0.01576
2,3,creative,3 Use rope to create a fun and challenging obstacle course in your backyard,use rope to create a fun and challenging obstacle course in your backyard,rope,rope,1.06287,0.96647,1.08053,0.96095,0.89575,0.99331,0.01297
3,4,creative,4 Create a custom rope headboard for your bed by weaving the rope through a series of hooks or rings,create a custom rope headboard for your bed by weaving the rope through a series of hooks or rings,rope,rope,0.84424,1.07778,0.99145,0.96095,1.10513,0.99591,0.00253
4,5,creative,5 Use rope to create a decorative macramé wall hanging for your home,use rope to create a decorative macramé wall hanging for your home,rope,rope,1.13306,1.07832,0.8931,0.96093,0.8939900000000001,0.99188,-0.01251
5,6,creative,6 Create a rope swing by attaching the rope to a sturdy tree branch and tying on a wooden seat,create a rope swing by attaching the rope to a sturdy tree branch and tying on a wooden seat,rope,rope,1.15523,0.92326,0.94679,0.96095,1.1053,1.01831,-0.00985
6,7,creative,7 Use rope to create a unique and rustic staircase railing,use rope to create a unique and rustic staircase railing,rope,rope,0.84674,1.07741,1.12033,0.96037,1.10587,1.02214,0.02103
7,8,creative,8 Create a DIY rope hammock by knotting the rope together in a specific pattern,create a diy rope hammock by knotting the rope together in a specific pattern,rope,rope,1.11913,0.99825,1.07907,0.96121,0.90882,1.0133,0.01275
8,9,creative,9 Use rope to create a custom dog leash in your favorite colors and patterns,use rope to create a custom dog leash in your favorite colors and patterns,rope,rope,0.85805,1.17174,0.91387,0.96093,1.10613,1.00214,-0.00696
9,10,creative,10 Create a DIY rope basket by wrapping rope around a mold and securing with glue,create a diy rope basket by wrapping rope around a mold and securing with glue,rope,rope,0.84182,1.009,0.88297,0.96096,1.04131,0.94721,-0.01388
10,11,creative,1 Create a rope swing in your backyard for kids to enjoy,create a rope swing in your backyard for kids to enjoy,rope,rope,1.0589,1.0764,0.92632,0.96097,0.89489,0.9835,-0.00707
11,12,creative,2 Use a rope to create a DIY hammock,use a rope to create a diy hammock,rope,rope,1.01667,0.97812,1.08076,0.96249,1.07835,1.02328,0.01217
12,13,creative,3 Tie a rope around a large object and drag it across a field to create an impromptu obstacle course,tie a rope around a large object and drag it across a field to create an impromptu obstacle course,rope,rope,0.91402,1.09632,0.90224,0.96095,0.89515,0.95374,-0.0088
13,14,creative,4 Attach a rope to a sled and use it to pull groceries or supplies home in the winter,attach a rope to a sled and use it to pull groceries or supplies home in the winter,rope,rope,1.12602,1.07568,0.90059,0.96095,1.10506,1.03366,-0.01326
14,15,creative,5 Create a rope ladder to reach high places,create a rope ladder to reach high places,rope,rope,0.8421,1.06589,1.01071,0.95891,1.10195,0.99591,0.00499
15,16,creative,6 Use a rope as a clothesline to dry clothes on a camping trip,use a rope as a clothesline to dry clothes on a camping trip,rope,rope,0.84258,1.08294,1.17449,0.96096,1.1046,1.03311,0.02904
16,17,creative,7 Crawl under a rope stretched between trees to play a fun game of limbo,crawl under a rope stretched between trees to play a fun game of limbo,rope,rope,0.91556,0.94747,0.96679,0.96102,1.10416,0.979,-0.00423
