...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Turn it into a puppet theater by cutting out a window and decorating it with curtains and a stage,turn it into a puppet theater by cutting out a window and decorating it with curtains and a stage,box,box,0.87909,1.10184,0.94356,0.9688,0.77666,0.93399,-0.00632
1,2,creative,2 Use it as a shadow box display to showcase small items or souvenirs,use it as a shadow box display to showcase small items or souvenirs,box,box,1.09867,1.08301,1.08575,0.9688,0.77687,1.00262,-0.00502
2,3,creative,3 Stack boxes to create a makeshift bookshelf or storage unit,stack boxes to create a makeshift bookshelf or storage unit,box,box,0.87165,0.90307,1.04063,0.95998000000000006,0.779,0.91087,-0.00698
3,4,creative,4 Cut the box into shapes and use them as stencils for painting or crafting,cut the box into shapes and use them as stencils for painting or crafting,box,box,1.10889,0.9201,1.05067,0.96881,0.7729,0.96427,-0.00614
4,5,creative,5 Turn it into a makeshift easel by propping it up and securing a piece of paper or canvas to the front,turn it into a makeshift easel by propping it up and securing a piece of paper or canvas to the front,box,box,1.1084100000000001,0.85312,1.04464,0.9688,0.77677,0.95035,-0.00642
5,6,creative,6 Cover the box in fabric or wallpaper to create a decorative storage container,cover the box in fabric or wallpaper to create a decorative storage container,box,box,0.8912599999999999,0.91914,0.93222,0.96818,1.16635,0.97543,0.00386
6,7,creative,7 Use the box as a compost bin for food scraps and organic material,use the box as a compost bin for food scraps and organic material,box,box,0.89175,0.92609,0.97507,0.96869,0.85319,0.92296,-0.00487
7,8,creative,8 Cut a hole in the box and insert a light to create a DIY lampshade,cut a hole in the box and insert a light to create a diy lampshade,box,box,0.88923,0.90787,0.90147,0.9688,0.77716,0.88891,-0.00751
8,9,creative,9 Use the box as a packaging material for gifts or shipments Decorate it with colorful wrapping paper or stickers,use the box as a packaging material for gifts or shipments decorate it with colorful wrapping paper or stickers,box,box,0.8914,1.09783,1.02519,0.96883,0.77685,0.95202,-0.00591
9,10,creative,10 Cut the box into strips and use them as building blocks for a cardboard fort or castle,cut the box into strips and use them as building blocks for a cardboard fort or castle,box,box,1.09764,0.90117,1.08451,0.9688,0.77686,0.9658,-0.006
10,11,creative,1 Turn a cardboard box into a fun playhouse for kids by painting it and adding cutout windows and a door,turn a cardboard box into a fun playhouse for kids by painting it and adding cutout windows and a door,box,box,0.8582799999999999,1.16592,0.94891,0.9688,1.21889,1.03216,0.00666
11,12,creative,2 Use a large box as a makeshift sled by sliding down a hill on it,use a large box as a makeshift sled by sliding down a hill on it,box,box,0.9967,0.88176,0.92135,0.9688,0.77678,0.90908,-0.00722
12,13,creative,3 Create a unique piece of furniture by stacking and securing boxes of different sizes and shapes and adding a cushion on top to make a DIY ottoman,create a unique piece of furniture by stacking and securing boxes of different sizes and shapes and adding a cushion on top to make a diy ottoman,box,box,1.10767,0.90083,0.9454899999999999,0.9688,1.18115,1.02079,0.00496
13,14,creative,4 Cut out the sides and use a box as a frame for a photo or artwork display,cut out the sides and use a box as a frame for a photo or artwork display,box,box,0.90451,0.95772,1.0525,0.9688,0.77644,0.93199,-0.00649
